id,address,locality,city,latitude,longitude,zipcode,country_id,locality_verbose,city_id
311758,"FC-10B, 3rd Floor, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road",Gurgaon,28.4802521,77.0802124,,1,"MGF Metropolitan Mall, MG Road, Gurgaon",1
300538,"3, Ground Floor, Vakil Market, Chakkarpur, MG Road, Gurgaon",MG Road,Gurgaon,28.4734916,77.0809099,0,1,"MG Road, Gurgaon",1
18354984,"3rd Floor, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road",Gurgaon,28.4807697,77.0802349,,1,"MGF Metropolitan Mall, MG Road, Gurgaon",1
2061,"3rd Floor, Food Court, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road",Gurgaon,28.4806523,77.0802215,0,1,"MGF Metropolitan Mall, MG Road, Gurgaon",1
305400,"Fortune Select Global, Global Arcade, MG Road, Gurgaon","Fortune Select Global, MG Road",Gurgaon,28.4818475,77.1031649,,1,"Fortune Select Global, MG Road, Gurgaon",1
18466924,"3rd Floor, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road",Gurgaon,28.4802819825,77.0804003875,,1,"MGF Metropolitan Mall, MG Road, Gurgaon",1
311759,"Lower Ground Floor, MGF Metropolis Mall, MG Road, Gurgaon","MGF Metropolis Mall, MG Road",Gurgaon,28.4785568,77.0823932,,1,"MGF Metropolis Mall, MG Road, Gurgaon",1
3582,"TF 3A/3B/3C, 3rd Floor, MGF Plaza Mall, MG Road, Gurgaon",MG Road,Gurgaon,28.4776351,77.0731066,0,1,"MG Road, Gurgaon",1
18461599,"NM 6, Old DLF Colony, Opposite Dr. Lal Path Lab, Sector 14, Gurgaon",Sector 14,Gurgaon,28.4699753,77.0453042,122001,1,"Sector 14, Gurgaon",1
302907,"3, Atul Kataria Chowk, Sector 14, Gurgaon",Sector 14,Gurgaon,28.4822008,77.0494753,,1,"Sector 14, Gurgaon",1
18252419,"Shop 140, Main Market, Opposite Hanuman Mandir, Sector 14, Gurgaon",Sector 14,Gurgaon,28.4745207,77.0476105,122001,1,"Sector 14, Gurgaon",1
18218304,"Shop 48, Sector 14, Gurgaon",Sector 14,Gurgaon,28.4735491,77.0483361,,1,"Sector 14, Gurgaon",1
18337904,"Shop 40, Main Market, Sector 14, Gurgaon",Sector 14,Gurgaon,28.4736495,77.0481041,,1,"Sector 14, Gurgaon",1
18471259,"Shop 4 & 5, Huda Market, Sector 14, Gurgaon",Sector 14,Gurgaon,28.4728921,77.0482744,,1,"Sector 14, Gurgaon",1
9169,"Sheetla Mata Road, Near Shiv Mandir Chowk, Near Sector 14, Gurgaon",Sector 14,Gurgaon,28.4768261,77.0349543,0,1,"Sector 14, Gurgaon",1
4122,"SG 28, Sector 14, Gurgaon",Sector 14,Gurgaon,28.4736075,77.0484406,0,1,"Sector 14, Gurgaon",1
308223,"Shop No-3 Near Choudhary Tent House New Mata Road Rajiv Nagar, Sector 14, Gurgaon",Sector 14,Gurgaon,28.4758573,77.0376289,,1,"Sector 14, Gurgaon",1
18025110,"Near Main Market, Sector 14, Gurgaon",Sector 14,Gurgaon,28.4738648,77.0476588,,1,"Sector 14, Gurgaon",1
5129,"Old Delhi Road, Opposite Officers Enclave, Sector 14, Gurgaon",Sector 14,Gurgaon,28.4751486,77.0432685,0,1,"Sector 14, Gurgaon",1
18461280,"New Railway Road, Opposite Easy Day, Jawahar Nagar, Sector 14, Gurgaon",Sector 14,Gurgaon,0.0,0.0,,1,"Sector 14, Gurgaon",1
18462214,"M-14, Old DLF Colony, Sector 14, Gurgaon, Delhi NCR",Sector 14,Gurgaon,28.4706936,77.0441684,122001,1,"Sector 14, Gurgaon",1
18387990,"Sector 14, Gurgaon",Sector 14,Gurgaon,28.4749637,77.0474907,,1,"Sector 14, Gurgaon",1
303743,"Late Atul Kataria Chowk, Sector 14, Gurgaon",Sector 14,Gurgaon,28.4803845074,77.0480833948,,1,"Sector 14, Gurgaon",1
18265716,"Plot 481, Ground Floor, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.4988926,77.0859902,,1,"Udyog Vihar, Gurgaon",1
